file,jawaban,penjelasan,kategori,level
apel.jpg,Apel,Apel adalah buah yang kaya serat dan vitamin.,Buah,Mudah
ayam.jpg,Ayam,Ayam adalah unggas yang sering diternakkan.,Hewan,Mudah
sapi.jpg,Sapi,Sapi adalah hewan ternak penghasil susu dan daging.,Hewan,Sedang
bayam.jpg,Bayam,Bayam adalah sayuran hijau yang kaya zat besi.,Sayur,Mudah
cabai.jpeg,Cabai,Cabai digunakan sebagai bumbu pedas.,Sayur,Mudah
mobil.jpg,Mobil,Mobil adalah kendaraan bermotor beroda empat.,Transportasi,Sedang
cangkul.jpg,Cangkul,Cangkul digunakan untuk mencangkul tanah.,Alat,Sedang
pisang.jpg,Pisang,Pisang adalah buah yang kaya akan kalium.,Buah,Mudah
mangga.jpg,Mangga,Mangga adalah buah tropis yang manis dan berdaging tebal.,Buah,Sedang
jeruk.jpg,Jeruk,Jeruk adalah sumber vitamin C yang baik.,Buah,Mudah
anggur.jpg,Anggur,Anggur adalah buah kecil yang tumbuh berkelompok.,Buah,Sedang
kucing.jpg,Kucing,Kucing adalah hewan peliharaan yang jinak dan lucu.,Hewan,Mudah
anjing.jpg,Anjing,Anjing adalah sahabat manusia yang setia.,Hewan,Mudah
gajah.jpg,Gajah,Gajah adalah mamalia darat terbesar dengan belalai panjang.,Hewan,Sedang
wortel.jpg,Wortel,Wortel adalah sayur yang kaya vitamin A.,Sayur,Mudah
tomat.jpg,Tomat,Tomat sering digunakan sebagai bahan masakan dan kaya antioksidan.,Sayur,Mudah
timun.jpg,Timun,Timun memiliki kandungan air yang tinggi dan menyegarkan.,Sayur,Mudah
motor.jpg,Motor,Motor adalah kendaraan roda dua yang cepat dan praktis.,Transportasi,Sedang
sepeda.jpg,Sepeda,Sepeda adalah alat transportasi ramah lingkungan.,Transportasi,Mudah
kereta.jpg,Kereta,Kereta adalah kendaraan umum yang berjalan di rel.,Transportasi,Sedang
pesawat.jpg,Pesawat,Pesawat digunakan untuk perjalanan jarak jauh melalui udara.,Transportasi,Sedang
paluh.jpg,Paluh,Paluh adalah alat sederhana untuk memukul benda.,Alat,Sedang
obeng.jpg,Obeng,Obeng digunakan untuk memasang atau melepas sekrup.,Alat,Mudah
gunting.jpg,Gunting,Gunting digunakan untuk memotong kertas atau kain.,Alat,Mudah
bor.jpg,Bor,Bor digunakan untuk melubangi permukaan keras seperti kayu atau tembok.,Alat,Sedang
